Date,Season,Source,Acreage,Owner,clipped UA,clipped _1,SznEndDate,Year,UA
3/26/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,23.1,Illinois Department of Natural Resources,0,0,1/1/2007,2007,notUA
3/26/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,116.6,Illinois Department of Natural Resources,0,0,1/1/2007,2007,notUA
4/21/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,15.7,Private,0,0,1/1/2007,2007,notUA
4/21/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,5.8,Private,0,0,1/1/2007,2007,notUA
3/10/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,5.8,Private,0,0,1/1/2007,2007,notUA
3/10/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,5.3,Private,0,0,1/1/2007,2007,notUA
4/16/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,3.6,Private,0,0,1/1/2007,2007,notUA
4/16/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,2.8,Private,0,0,1/1/2007,2007,notUA
4/16/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,11.4,Private,0,0,1/1/2007,2007,notUA
4/16/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,6.9,Private,0,0,1/1/2007,2007,notUA
4/10/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,5,Private,0,0,1/1/2008,2008,notUA
4/18/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,3.8,Private,0,0,1/1/2007,2007,notUA
4/18/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,8.8,Private,0,0,1/1/2007,2007,notUA
3/26/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,14.5,Illinois Department of Natural Resources,0,0,1/1/2007,2007,notUA
3/13/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,11.5,Private,0,0,1/1/2007,2007,notUA
3/26/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,9,Private,0,0,1/1/2007,2007,notUA
4/21/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,11.9,Private,0,0,1/1/2007,2007,notUA
4/21/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,5.5,Private,0,0,1/1/2007,2007,notUA
3/24/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,3.1,Private,0,0,1/1/2008,2008,notUA
4/7/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,8.2,Private,0,0,1/1/2008,2008,notUA
4/10/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,1.8,Private,0,0,1/1/2008,2008,notUA
4/18/2007,7/1/2006 - 6/30/2007,Southern Illinois Prescribed Burn Association,5,Private,0,0,1/1/2007,2007,notUA
3/22/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,8.4,Private,0,0,1/1/2008,2008,notUA
3/22/2008,7/1/2007 - 6/30/2008,Southern Illinois Prescribed Burn Association,5.1,Private,0,0,1/1/2008,2008,notUA
